Cast-off Reconstruction Results:
High Percentile Faces(x) High Percentile Faces(y)             High Percentile Faces(z)
     112.500                   65.347                               75.000
     112.500                   66.365                               82.500
      67.500                   78.650                               97.500
      67.500                   79.586                              105.000
      75.000                   80.384                               97.500
      75.000                   80.831                              105.000
      75.000                   76.973                              112.500
      82.500                   79.250                               90.000
      82.500                   81.234                               97.500
      82.500                   80.792                              105.000
      82.500                   75.287                              112.500
      90.000                   78.626                               45.000
      90.000                   78.214                               82.500
      90.000                   80.560                               90.000
      90.000                   81.507                               97.500
      90.000                   80.418                              105.000
      97.500                   78.096                               60.000
      97.500                   80.715                               67.500
      97.500                   80.752                               75.000
      97.500                   81.351                               82.500
      97.500                   80.998                               90.000
      97.500                   80.332                               97.500
      97.500                   75.827                              105.000
     105.000                   81.290                               60.000
     105.000                   81.045                               67.500
     105.000                   81.080                               75.000
     105.000                   81.293                               82.500
     105.000                   80.018                               90.000
     105.000                   75.382                               97.500
     112.500                   76.080                               60.000
     112.500                   77.196                               67.500
     112.500                   77.153                               75.000
     112.500                   76.135                               82.500
High Percentile Faces(x) High Percentile Faces(y)             High Percentile Faces(z)
       1.000                    3.000                              194.000
       1.000                    3.000                              245.000
       1.000                   93.000                              193.000
       1.000                   93.000                              238.000
       1.000                  193.000                              194.000
       1.000                  238.000                              245.000
       2.000                    4.000                              193.000
       2.000                    4.000                              239.000
       2.000                   93.000                              193.000
       2.000                   93.000                              233.000
       2.000                  233.000                              239.000
       3.000                    5.000                              195.000
       3.000                    5.000                              252.000
       3.000                  194.000                              195.000
       3.000                  245.000                              252.000
       4.000                    6.000                              194.000
       4.000                    6.000                              246.000
       4.000                  193.000                              194.000
       4.000                  239.000                              246.000
       5.000                   94.000                              196.000
       5.000                   94.000                              252.000
       5.000                  195.000                              196.000
       6.000                    8.000                              195.000
       6.000                    8.000                              253.000
       6.000                  194.000                              195.000
       6.000                  246.000                              253.000
       7.000                   94.000                              196.000
       7.000                   94.000                              261.000
       7.000                   95.000                              198.000
       7.000                   95.000                              261.000
       7.000                  196.000                              198.000
       8.000                   42.000                               96.000
       8.000                   42.000                              132.000
       8.000                   96.000                              197.000
       8.000                  132.000                              262.000
       8.000                  195.000                              197.000
       8.000                  253.000                              262.000
       9.000                   95.000                              198.000
       9.000                   95.000                              269.000
       9.000                  100.000                              203.000
       9.000                  100.000                              269.000
       9.000                  198.000                              203.000
      10.000                   96.000                              197.000
      10.000                   96.000                              270.000
      10.000                  101.000                              199.000
      10.000                  101.000                              270.000
      10.000                  197.000                              199.000
      11.000                   97.000                              200.000
      11.000                   97.000                              272.000
      11.000                  102.000                              200.000
      11.000                  102.000                              272.000
      12.000                   46.000                              106.000
      12.000                   46.000                              136.000
      12.000                  101.000                              199.000
      12.000                  101.000                              273.000
      12.000                  106.000                              204.000
      12.000                  136.000                              273.000
      12.000                  199.000                              204.000
      13.000                   47.000                              107.000
      13.000                   47.000                              109.000
      13.000                  107.000                              205.000
      13.000                  109.000                              207.000
      13.000                  205.000                              207.000
      14.000                   48.000                              144.000
      14.000                   48.000                              146.000
      14.000                  108.000                              144.000
      14.000                  108.000                              206.000
      14.000                  110.000                              146.000
      14.000                  110.000                              206.000
      15.000                   49.000                              109.000
      15.000                   49.000                              113.000
      15.000                  109.000                              207.000
      15.000                  113.000                              213.000
      15.000                  207.000                              213.000
      16.000                   50.000                              148.000
      16.000                   50.000                              150.000
      16.000                  112.000                              148.000
      16.000                  112.000                              212.000
      16.000                  114.000                              150.000
      16.000                  114.000                              212.000
      17.000                   51.000                              113.000
      17.000                   51.000                              115.000
      17.000                  113.000                              213.000
      17.000                  115.000                              221.000
      17.000                  213.000                              221.000
      18.000                   52.000                              150.000
      18.000                   52.000                              154.000
      18.000                  114.000                              150.000
      18.000                  114.000                              220.000
      18.000                  118.000                              154.000
      18.000                  118.000                              220.000
      19.000                   23.000                               53.000
      19.000                   23.000                              229.000
      19.000                   53.000                              115.000
      19.000                  115.000                              221.000
      19.000                  221.000                              229.000
      20.000                   54.000                              116.000
      20.000                   54.000                              121.000
      20.000                  116.000                              217.000
      20.000                  121.000                              225.000
      20.000                  217.000                              225.000
      21.000                   25.000                               55.000
      21.000                   25.000                              231.000
      21.000                   55.000                              153.000
      21.000                  117.000                              153.000
      21.000                  117.000                              226.000
      21.000                  226.000                              231.000
      22.000                   56.000                              154.000
      22.000                   56.000                              158.000
      22.000                  118.000                              154.000
      22.000                  118.000                              228.000
      22.000                  122.000                              158.000
      22.000                  122.000                              228.000
      23.000                   27.000                               57.000
      23.000                   27.000                              235.000
      23.000                   53.000                               57.000
      23.000                  229.000                              235.000
      24.000                   28.000                               58.000
      24.000                   28.000                              230.000
      24.000                   58.000                              119.000
      24.000                  119.000                              223.000
      24.000                  223.000                              230.000
      25.000                   29.000                               59.000
      25.000                   29.000                              237.000
      25.000                   55.000                               59.000
      25.000                  231.000                              237.000
      26.000                   30.000                               60.000
      26.000                   30.000                              234.000
      26.000                   60.000                              158.000
      26.000                  122.000                              158.000
      26.000                  122.000                              234.000
      27.000                   57.000                               61.000
      27.000                   61.000                              123.000
      27.000                  123.000                              240.000
      27.000                  235.000                              240.000
      28.000                   58.000                               62.000
      28.000                   62.000                              160.000
      28.000                  124.000                              160.000
      28.000                  124.000                              236.000
      28.000                  230.000                              236.000
      29.000                   33.000                               63.000
      29.000                   33.000                              244.000
